FatorA	FatorB	Rep	Dados
Cultivar 1	Manejo 1	1	81
Cultivar 1	Manejo 1	2	73
Cultivar 1	Manejo 1	3	79
Cultivar 1	Manejo 1	4	84
Cultivar 2	Manejo 1	1	93
Cultivar 2	Manejo 1	2	92
Cultivar 2	Manejo 1	3	94
Cultivar 2	Manejo 1	4	88
Cultivar 3	Manejo 1	1	77
Cultivar 3	Manejo 1	2	77
Cultivar 3	Manejo 1	3	67
Cultivar 3	Manejo 1	4	69
Cultivar 1	Manejo 2	1	35
Cultivar 1	Manejo 2	2	45
Cultivar 1	Manejo 2	3	39
Cultivar 1	Manejo 2	4	45
Cultivar 2	Manejo 2	1	52
Cultivar 2	Manejo 2	2	56
Cultivar 2	Manejo 2	3	46
Cultivar 2	Manejo 2	4	47
Cultivar 3	Manejo 2	1	33
Cultivar 3	Manejo 2	2	33
Cultivar 3	Manejo 2	3	37
Cultivar 3	Manejo 2	4	33
