FatorA	FatorB	Bloc	Dados
Cultivar1	Adubacao1	1	66
Cultivar1	Adubacao1	2	64
Cultivar1	Adubacao1	3	76
Cultivar1	Adubacao2	1	70
Cultivar1	Adubacao2	2	67
Cultivar1	Adubacao2	3	83
Cultivar1	Adubacao3	1	63
Cultivar1	Adubacao3	2	61
Cultivar1	Adubacao3	3	69
Cultivar1	Adubacao4	1	57
Cultivar1	Adubacao4	2	60
Cultivar1	Adubacao4	3	71
Cultivar2	Adubacao1	1	68
Cultivar2	Adubacao1	2	59
Cultivar2	Adubacao1	3	78
Cultivar2	Adubacao2	1	74
Cultivar2	Adubacao2	2	80
Cultivar2	Adubacao2	3	90
Cultivar2	Adubacao3	1	76
Cultivar2	Adubacao3	2	80
Cultivar2	Adubacao3	3	87
Cultivar2	Adubacao4	1	92
Cultivar2	Adubacao4	2	100
Cultivar2	Adubacao4	3	108
Cultivar3	Adubacao1	1	68
Cultivar3	Adubacao1	2	69
Cultivar3	Adubacao1	3	73
Cultivar3	Adubacao2	1	110
Cultivar3	Adubacao2	2	112
Cultivar3	Adubacao2	3	113
Cultivar3	Adubacao3	1	70
Cultivar3	Adubacao3	2	60
Cultivar3	Adubacao3	3	71
Cultivar3	Adubacao4	1	75
Cultivar3	Adubacao4	2	66
Cultivar3	Adubacao4	3	79
