Teste	Espacamento	Herbicida	Rep	Y
NA	Espaç1	herb1	1	7
NA	Espaç2	herb1	1	20
NA	Espaç3	herb1	1	10
NA	Espaç1	herb2	1	8
NA	Espaç2	herb2	1	25
NA	Espaç3	herb2	1	10
NA	Espaç1	herb3	1	5
NA	Espaç2	herb3	1	15
NA	Espaç3	herb3	1	5
NA	Test	Test	1	3
NA	Espaç1	herb1	2	6
NA	Espaç2	herb1	2	21
NA	Espaç3	herb1	2	12
NA	Espaç1	herb2	2	10
NA	Espaç2	herb2	2	22
NA	Espaç3	herb2	2	12
NA	Espaç1	herb3	2	4
NA	Espaç2	herb3	2	16
NA	Espaç3	herb3	2	7
NA	Test	Test	2	4
NA	Espaç1	herb1	3	7
NA	Espaç2	herb1	3	22
NA	Espaç3	herb1	3	15
NA	Espaç1	herb2	3	11
NA	Espaç2	herb2	3	27
NA	Espaç3	herb2	3	11
NA	Espaç1	herb3	3	6
NA	Espaç2	herb3	3	14
NA	Espaç3	herb3	3	6
NA	Test	Test	3	3
