Cultivares	Local	rep	prod
1	1	1	17
1	1	2	19
1	1	3	19
1	1	4	87
2	1	1	29
2	1	2	21
2	1	3	24
2	1	4	22
3	1	1	37
3	1	2	31
3	1	3	32
3	1	4	41
4	1	1	29
4	1	2	27
4	1	3	31
4	1	4	31
5	1	1	50
5	1	2	23
5	1	3	29
5	1	4	23
6	1	1	30
6	1	2	22
6	1	3	26
6	1	4	29
7	1	1	36
7	1	2	26
7	1	3	7
7	1	4	20
8	1	1	23
8	1	2	19
8	1	3	80
8	1	4	21
9	1	1	36
9	1	2	27
9	1	3	27
9	1	4	26
10	1	1	27
10	1	2	21
10	1	3	21
10	1	4	30
1	2	1	38
1	2	2	37
1	2	3	45
1	2	4	40
2	2	1	31
2	2	2	32
2	2	3	35
2	2	4	24
3	2	1	37
3	2	2	27
3	2	3	44
3	2	4	35
4	2	1	45
4	2	2	30
4	2	3	42
4	2	4	42
5	2	1	32
5	2	2	22
5	2	3	37
5	2	4	31
6	2	1	29
6	2	2	38
6	2	3	38
6	2	4	40
7	2	1	43
7	2	2	27
7	2	3	39
7	2	4	40
8	2	1	33
8	2	2	25
8	2	3	38
8	2	4	38
9	2	1	44
9	2	2	25
9	2	3	47
9	2	4	39
10	2	1	32
10	2	2	26
10	2	3	18
10	2	4	36
1	3	1	49
1	3	2	42
1	3	3	37
1	3	4	37
2	3	1	30
2	3	2	26
2	3	3	27
2	3	4	25
3	3	1	48
3	3	2	36
3	3	3	31
3	3	4	39
4	3	1	39
4	3	2	20
4	3	3	39
4	3	4	22
5	3	1	33
5	3	2	23
5	3	3	32
5	3	4	25
6	3	1	27
6	3	2	21
6	3	3	37
6	3	4	30
7	3	1	38
7	3	2	27
7	3	3	43
7	3	4	36
8	3	1	34
8	3	2	26
8	3	3	35
8	3	4	27
9	3	1	42
9	3	2	29
9	3	3	38
9	3	4	38
10	3	1	27
10	3	2	20
10	3	3	30
10	3	4	17
1	4	1	38
1	4	2	31
1	4	3	41
1	4	4	41
2	4	1	41
2	4	2	25
2	4	3	31
2	4	4	32
3	4	1	45
3	4	2	35
3	4	3	63
3	4	4	48
4	4	1	78
4	4	2	25
4	4	3	46
4	4	4	41
5	4	1	35
5	4	2	25
5	4	3	35
5	4	4	28
6	4	1	37
6	4	2	28
6	4	3	37
6	4	4	37
7	4	1	37
7	4	2	33
7	4	3	16
7	4	4	36
8	4	1	21
8	4	2	23
8	4	3	37
8	4	4	36
9	4	1	33
9	4	2	31
9	4	3	41
9	4	4	37
10	4	1	31
10	4	2	26
10	4	3	30
10	4	4	25
